Person1,Person2,type
611,1781,acquaintance
1979,2159,acquaintance
2000,2903,acquaintance
100,2881,friend
755,1505,friend
390,2258,friend
2924,363,acquaintance
1943,2513,acquaintance
1459,2938,friend
2530,1354,friend
1546,587,acquaintance
1176,1805,acquaintance
1973,1209,acquaintance
980,2828,friend
2817,1664,acquaintance
1482,898,acquaintance
217,1977,friend
2563,1176,friend
2972,2460,acquaintance
2162,1561,acquaintance
1688,1045,acquaintance
747,2603,friend
2846,2191,acquaintance
2420,404,friend
1205,727,acquaintance
1065,2495,acquaintance
1094,1230,acquaintance
2873,1176,acquaintance
1094,2133,friend
2594,2523,acquaintance
390,1213,acquaintance
2801,1768,friend
1828,1674,best friend
1027,2559,acquaintance
2927,2126,friend
1199,1797,friend
1465,143,friend
2503,1863,acquaintance
2879,1145,acquaintance
1725,290,friend
1577,2901,acquaintance
404,33,acquaintance
2159,663,acquaintance
661,1041,best friend
1762,665,acquaintance
207,612,acquaintance
2619,1579,acquaintance
1397,761,best friend
1732,2743,friend
1199,2116,friend
2661,530,best friend
2183,1100,acquaintance
364,1733,friend
2590,921,acquaintance
2451,1653,friend
1153,401,acquaintance
1085,2486,friend
1446,847,acquaintance
1651,1898,acquaintance
2847,933,acquaintance
1538,2281,acquaintance
1351,2233,acquaintance
2490,2249,acquaintance
394,1865,acquaintance
1460,845,acquaintance
1950,805,acquaintance
1962,1307,friend
1994,2569,acquaintance
1603,2569,acquaintance
1465,768,acquaintance
647,2323,friend
1209,2927,acquaintance
214,268,acquaintance
1577,856,acquaintance
1538,2183,acquaintance
2325,1076,acquaintance
2934,677,acquaintance
2022,2777,acquaintance
1242,1465,friend
868,197,acquaintance
2503,898,friend
2555,1804,acquaintance
220,1027,acquaintance
1735,197,friend
132,1205,friend
959,2724,friend
1957,759,acquaintance
1214,2909,acquaintance
1653,291,friend
1672,1657,acquaintance
496,297,acquaintance
1413,1291,acquaintance
759,375,friend
2567,2678,best friend
831,469,acquaintance
2006,1651,acquaintance
1291,2105,friend
2290,948,acquaintance
1836,454,acquaintance
1823,1080,friend
438,168,acquaintance
297,2259,friend
1898,2085,acquaintance
845,368,acquaintance
2516,1939,acquaintance
1828,542,acquaintance
2450,2972,friend
1664,1751,acquaintance
1300,884,friend
1402,1165,acquaintance
1915,2290,acquaintance
1122,2058,acquaintance
491,2786,friend
2661,401,acquaintance
886,217,acquaintance
2889,62,acquaintance
1884,95,acquaintance
2571,2556,acquaintance
2777,1307,acquaintance
1686,899,acquaintance
1939,368,acquaintance
1297,483,friend
2818,1495,acquaintance
1376,1858,acquaintance
1413,2339,acquaintance
2311,580,best friend
2053,2563,acquaintance
1591,386,acquaintance
1881,1713,acquaintance
1784,2115,best friend
2939,1199,acquaintance
2988,1860,acquaintance
431,703,acquaintance
1781,1533,friend
2482,1693,friend
2503,13,friend
2325,1657,acquaintance
526,260,acquaintance
1579,286,acquaintance
385,1504,acquaintance
699,585,best friend
363,821,acquaintance
1574,1149,acquaintance
340,1107,acquaintance
45,2209,acquaintance
901,1688,acquaintance
1563,1546,friend
1360,244,friend
1970,1808,acquaintance
2053,2364,acquaintance
2530,2331,acquaintance
2617,2878,friend
1153,1066,friend
2899,2209,acquaintance
2513,1559,acquaintance
2290,2024,acquaintance
1234,318,acquaintance
1149,2022,acquaintance
941,1366,acquaintance
45,642,acquaintance
983,2801,friend
2696,2549,acquaintance
686,985,best friend
2884,810,acquaintance
1888,2821,acquaintance
867,243,friend
810,1799,acquaintance
1098,1546,friend
228,189,best friend
946,1750,acquaintance
1480,1645,acquaintance
1481,1949,acquaintance
1704,2820,best friend
746,2078,acquaintance
522,1291,acquaintance
2559,1465,acquaintance
2706,922,acquaintance
1860,1534,acquaintance
1610,1966,acquaintance
2569,2357,friend
2390,1285,friend
200,639,friend
2495,1811,acquaintance
2879,1811,acquaintance
2116,2556,friend
1411,2798,acquaintance
2622,2047,best friend
2721,1817,friend
2169,572,acquaintance
1864,2619,acquaintance
538,438,acquaintance
1300,2707,acquaintance
2781,2445,friend
2227,1544,friend
1301,1943,acquaintance
2995,1608,acquaintance
2192,1891,acquaintance
508,2355,friend
143,321,acquaintance
2300,438,acquaintance
1823,676,friend
1503,947,acquaintance
2545,40,acquaintance
298,947,friend
922,1816,friend
1784,2606,acquaintance
1381,1035,friend
2464,351,acquaintance
1938,978,acquaintance
2618,2820,acquaintance
765,1723,acquaintance
1299,403,acquaintance
889,355,acquaintance
727,868,acquaintance
862,2808,acquaintance
0,571,friend
1290,365,acquaintance
812,2477,acquaintance
82,244,acquaintance
2902,482,acquaintance
200,1385,friend
2887,879,acquaintance
1517,665,acquaintance
1214,1828,acquaintance
839,1769,acquaintance
2651,245,friend
1645,26,acquaintance
2842,786,acquaintance
543,2249,friend
2817,1654,acquaintance
507,2953,acquaintance
1986,894,acquaintance
2162,2397,friend
1688,353,acquaintance
427,699,acquaintance
2571,1531,friend
1768,845,acquaintance
2047,2777,acquaintance
1533,1572,acquaintance
747,268,acquaintance
1491,2002,acquaintance
1345,2397,acquaintance
1664,1832,friend
1159,2892,acquaintance
306,349,friend
1490,230,friend
2397,417,acquaintance
2906,116,acquaintance
349,1579,acquaintance
1649,2155,acquaintance
1622,2617,friend
1776,1796,friend
2225,361,acquaintance
413,2373,acquaintance
2311,2097,friend
1614,2199,best friend
884,19,friend
1223,248,friend
1641,659,acquaintance
2568,1973,best friend
1997,1860,acquaintance
306,2323,acquaintance
1458,1501,acquaintance
386,1242,friend
1493,2316,friend
1294,297,acquaintance
2406,399,acquaintance
2357,1290,friend
2899,2821,acquaintance
1094,2209,acquaintance
959,2889,friend
2934,1447,friend
62,2281,acquaintance
2906,401,acquaintance
639,2635,acquaintance
668,2575,friend
2241,1908,acquaintance
2901,1609,friend
1463,1030,friend
2003,250,acquaintance
761,2,acquaintance
1260,1899,friend
1584,623,friend
1808,2568,acquaintance
862,479,acquaintance
1429,1168,acquaintance
250,2057,friend
2886,1863,friend
1977,1598,friend
438,1808,friend
1429,736,best friend
427,2657,friend
290,2000,acquaintance
1948,1784,acquaintance
948,459,best friend
1664,2018,acquaintance
2213,2641,acquaintance
2861,1098,acquaintance
1966,1335,acquaintance
960,1624,friend
351,640,friend
1598,603,acquaintance
31,2555,acquaintance
41,2225,acquaintance
2513,1542,acquaintance
795,786,friend
2450,1875,acquaintance
765,1913,acquaintance
2852,960,acquaintance
2264,1608,acquaintance
2699,60,acquaintance
1480,1568,friend
177,2479,acquaintance
921,2563,acquaintance
1470,1634,acquaintance
2486,562,friend
2573,761,acquaintance
699,2169,acquaintance
1563,1960,friend
962,2324,best friend
2290,706,friend
2264,519,acquaintance
812,1232,acquaintance
2257,173,friend
1538,1025,acquaintance
1915,689,friend
2939,1651,friend
2312,1969,acquaintance
870,2530,best friend
1047,948,friend
853,184,friend
2592,1357,acquaintance
160,243,acquaintance
1911,921,acquaintance
1653,2321,friend
2556,2909,acquaintance
2105,981,friend
1277,1851,best friend
852,1246,acquaintance
577,2617,acquaintance
2446,1776,acquaintance
1053,103,acquaintance
140,2375,acquaintance
1625,1561,friend
2614,1735,friend
1740,2000,acquaintance
2431,1672,acquaintance
1335,1610,acquaintance
2878,1949,acquaintance
2095,1897,acquaintance
1915,2139,friend
2183,31,acquaintance
1209,1501,acquaintance
1390,77,friend
946,1606,friend
2354,2395,acquaintance
2978,2657,acquaintance
580,1997,friend
2953,1858,friend
1864,1999,friend
2028,951,acquaintance
867,1291,friend
2420,2444,friend
1333,2355,acquaintance
1939,530,acquaintance
2105,711,acquaintance
2438,1122,acquaintance
765,1942,acquaintance
522,340,friend
1315,2118,friend
2354,1376,acquaintance
523,1064,best friend
2724,48,friend
1291,459,acquaintance
583,459,acquaintance
842,2601,friend
1590,1975,acquaintance
2684,1491,friend
2296,207,acquaintance
1534,2794,best friend
1446,1606,acquaintance
2724,2342,acquaintance
2342,2444,acquaintance
438,2906,acquaintance
2183,805,acquaintance
587,355,acquaintance
1960,941,acquaintance
1333,1455,friend
132,1053,acquaintance
312,2428,friend
1135,2596,acquaintance
504,2204,acquaintance
2162,2214,friend
1085,1899,acquaintance
1185,800,acquaintance
449,2601,friend
554,1969,acquaintance
398,2962,acquaintance
258,168,acquaintance
2571,2657,acquaintance
2747,1135,acquaintance
1107,1493,acquaintance
611,2428,friend
2053,1823,acquaintance
1509,975,friend
647,540,friend
821,569,friend
758,1333,acquaintance
1898,1765,acquaintance
358,207,best friend
668,1027,friend
1980,2906,acquaintance
1521,244,friend
1884,884,acquaintance
2594,1413,acquaintance
228,1052,acquaintance
1998,1851,acquaintance
2159,1907,acquaintance
1801,508,friend
2386,839,acquaintance
1479,2516,friend
355,497,acquaintance
2202,703,friend
1373,1969,acquaintance
1315,2209,friend
1686,1898,acquaintance
288,887,acquaintance
2903,230,acquaintance
1381,426,acquaintance
2377,1114,friend
1429,404,acquaintance
50,971,friend
1704,2207,friend
1516,2255,acquaintance
1559,2232,best friend
254,1909,acquaintance
580,1797,acquaintance
2002,2118,best friend
2445,2186,friend
323,2887,friend
1172,2810,acquaintance
1438,1165,friend
1825,2619,acquaintance
1415,244,friend
740,220,acquaintance
104,39,friend
741,1902,acquaintance
812,2847,acquaintance
306,1481,acquaintance
298,845,acquaintance
2754,800,acquaintance
1031,1962,friend
2734,1506,friend
2138,103,acquaintance
2592,2232,friend
2324,2183,acquaintance
1616,2438,friend
696,95,friend
1098,1624,acquaintance
584,1214,friend
506,417,best friend
702,761,friend
1994,2564,friend
2357,510,friend
2460,2057,best friend
1221,2377,friend
2287,677,friend
2325,1418,friend
2249,2902,acquaintance
1686,1634,acquaintance
1607,491,friend
1977,753,friend
1204,1211,friend
445,1718,acquaintance
1751,1545,acquaintance
2245,2602,friend
1491,1572,acquaintance
2614,2233,friend
2291,356,acquaintance
2002,2395,acquaintance
959,76,friend
1366,275,acquaintance
995,2516,acquaintance
1986,676,acquaintance
851,1794,friend
2247,508,friend
1548,384,acquaintance
2559,412,friend
1631,513,best friend
2621,2085,friend
1345,156,acquaintance
2324,1602,acquaintance
2281,1970,acquaintance
454,221,acquaintance
1723,2915,acquaintance
1864,1214,acquaintance
962,1973,acquaintance
214,2661,friend
1114,1077,best friend
894,612,friend
2567,2451,acquaintance
1127,2696,friend
2939,2617,acquaintance
856,785,acquaintance
889,676,friend
140,2377,friend
1948,62,acquaintance
1609,1853,acquaintance
2420,174,friend
254,138,acquaintance
2342,254,friend
390,2120,acquaintance
1091,1776,best friend
1479,1429,acquaintance
1767,1634,friend
585,1872,acquaintance
356,2569,friend
647,1884,acquaintance
2588,2249,acquaintance
1911,661,best friend
2551,1294,friend
887,734,acquaintance
2115,86,acquaintance
1244,1209,acquaintance
852,258,acquaintance
1892,1326,acquaintance
513,116,acquaintance
2073,454,acquaintance
2249,398,acquaintance
2085,251,friend
1109,1718,acquaintance
1841,1099,acquaintance
168,76,friend
1149,2934,friend
460,2549,acquaintance
2190,13,best friend
2120,2909,acquaintance
460,2872,acquaintance
534,2953,friend
362,2707,acquaintance
1775,38,acquaintance
2614,1283,friend
702,842,acquaintance
2194,1221,acquaintance
867,2000,acquaintance
2525,694,acquaintance
2302,1109,friend
2518,207,acquaintance
2513,1045,acquaintance
2503,2357,acquaintance
2232,2874,friend
2115,824,acquaintance
2596,1861,acquaintance
1693,1413,friend
1884,507,acquaintance
2490,899,best friend
326,2808,friend
2927,538,acquaintance
233,2608,acquaintance
2569,2460,best friend
2934,362,friend
1957,2668,acquaintance
513,143,acquaintance
2361,419,acquaintance
26,2901,acquaintance
623,1851,friend
1950,1658,acquaintance
1653,2397,friend
1397,2415,friend
1114,697,acquaintance
1697,2657,acquaintance
1805,1041,acquaintance
603,2324,acquaintance
2706,2406,acquaintance
1289,1851,friend
676,365,friend
1980,48,best friend
523,1513,acquaintance
2575,1631,acquaintance
758,2073,best friend
2798,2589,acquaintance
2972,746,acquaintance
2794,898,best friend
2033,668,acquaintance
2703,2828,acquaintance
1207,2110,friend
2562,2275,acquaintance
221,1609,acquaintance
7,1014,acquaintance
898,2808,acquaintance
1418,2306,acquaintance
2958,230,acquaintance
2977,60,friend
535,2523,friend
2955,1610,friend
741,2338,acquaintance
2872,1816,acquaintance
1975,115,friend
2325,2887,acquaintance
2750,1964,friend
1246,1122,acquaintance
636,867,acquaintance
2355,1413,acquaintance
1851,2699,acquaintance
2588,2878,friend
1832,1997,friend
492,1836,friend
2022,1242,acquaintance
666,27,acquaintance
2947,1534,friend
1366,1030,acquaintance
1964,1667,friend
1853,1672,acquaintance
2525,221,acquaintance
1284,2556,acquaintance
2842,1307,friend
2377,2931,friend
1311,1301,friend
812,1851,acquaintance
2118,275,acquaintance
2241,2022,acquaintance
883,2189,acquaintance
1390,1315,acquaintance
1631,1816,friend
554,397,acquaintance
2354,504,acquaintance
1851,1108,friend
2018,1622,acquaintance
2312,740,friend
532,572,friend
2464,1614,acquaintance
2955,985,friend
1574,415,friend
1269,2973,acquaintance
2821,348,acquaintance
2606,1672,acquaintance
247,1015,acquaintance
2901,734,acquaintance
2954,1390,acquaintance
2057,1693,acquaintance
2390,2563,friend
2420,805,friend
2622,2621,acquaintance
364,1114,acquaintance
2924,636,friend
1099,978,friend
2699,842,acquaintance
1772,2590,acquaintance
831,689,friend
2516,2601,acquaintance
1333,2533,acquaintance
2947,1029,acquaintance
1496,946,acquaintance
601,1354,friend
2619,41,friend
2703,250,best friend
1762,459,acquaintance
1948,403,friend
666,1374,acquaintance
971,2696,friend
2138,1394,acquaintance
510,1545,friend
523,1574,friend
2808,0,acquaintance
2110,1991,friend
653,1980,acquaintance
1797,77,acquaintance
2001,2596,acquaintance
2136,2509,acquaintance
953,2334,acquaintance
1397,2259,acquaintance
1394,1988,acquaintance
1411,2229,acquaintance
1030,1950,acquaintance
482,901,best friend
1832,2209,best friend
2777,1135,friend
247,815,acquaintance
76,1045,acquaintance
2915,2778,acquaintance
486,263,acquaintance
62,375,acquaintance
2146,2692,acquaintance
1805,2438,acquaintance
2997,143,friend
2592,258,acquaintance
1853,2255,friend
2608,1784,friend
786,873,friend
2810,2213,friend
1217,2903,acquaintance
747,1411,acquaintance
2977,777,best friend
116,1338,acquaintance
1997,971,best friend
2022,2073,best friend
2953,513,acquaintance
2476,2503,friend
31,1501,acquaintance
948,138,acquaintance
2622,2750,friend
810,785,friend
1029,1907,friend
1649,1120,acquaintance
1418,2692,acquaintance
1172,2879,acquaintance
1881,288,acquaintance
2988,2123,acquaintance
1973,189,acquaintance
2379,815,acquaintance
1076,214,acquaintance
2889,1786,acquaintance
2971,2361,acquaintance
2953,2450,acquaintance
2988,1915,acquaintance
1359,1394,best friend
1988,2972,acquaintance
2703,1854,acquaintance
951,401,acquaintance
2444,1333,acquaintance
2954,1459,friend
1704,870,acquaintance
1509,847,friend
2938,1834,acquaintance
2202,2476,friend
2732,1284,friend
31,894,acquaintance
1631,362,acquaintance
2295,810,friend
2326,1415,friend
1823,2938,acquaintance
349,189,acquaintance
1630,727,friend
344,2818,acquaintance
360,418,acquaintance
1491,1631,acquaintance
1733,1598,best friend
1107,786,acquaintance
1606,2820,acquaintance
1214,1506,acquaintance
1411,597,acquaintance
2618,2972,acquaintance
1518,814,friend
1091,2846,acquaintance
1630,1964,friend
360,2533,acquaintance
2203,489,acquaintance
2931,1641,acquaintance
1493,2154,friend
1796,385,acquaintance
2927,2794,acquaintance
41,1817,acquaintance
1664,2799,acquaintance
2338,1834,acquaintance
2318,1363,friend
1459,666,friend
830,65,acquaintance
1252,1075,friend
2236,2883,acquaintance
2832,2635,acquaintance
862,2277,friend
711,1686,acquaintance
2282,1533,best friend
1241,2892,acquaintance
397,916,friend
2635,2115,acquaintance
1281,1470,friend
2264,2721,acquaintance
2213,2883,acquaintance
879,258,best friend
1899,947,acquaintance
2287,82,friend
1609,1526,acquaintance
2808,531,acquaintance
652,1526,acquaintance
1418,2321,acquaintance
291,2247,friend
1066,1979,best friend
1294,862,acquaintance
1246,427,best friend
1609,980,acquaintance
2684,868,acquaintance
2392,318,acquaintance
1997,740,best friend
554,433,friend
1255,1723,acquaintance
2415,2326,friend
419,2884,acquaintance
995,361,friend
1029,601,acquaintance
2379,365,acquaintance
847,251,friend
168,2601,friend
2945,2323,acquaintance
2444,706,acquaintance
2311,306,acquaintance
2696,1360,acquaintance
310,1242,acquaintance
19,1465,best friend
1900,412,friend
1326,254,friend
2588,1563,acquaintance
1122,2915,acquaintance
2589,868,acquaintance
2799,2287,acquaintance
898,50,acquaintance
228,96,acquaintance
1725,2495,acquaintance
1044,2446,best friend
2071,2326,acquaintance
2321,1579,friend
1326,166,acquaintance
2229,1964,friend
2899,1102,acquaintance
854,2799,acquaintance
956,1418,acquaintance
759,1311,acquaintance
2810,821,acquaintance
1338,530,friend
526,2538,acquaintance
483,1772,friend
385,1900,acquaintance
258,2324,friend
824,2145,friend
1907,140,friend
1902,247,acquaintance
2486,2169,acquaintance
508,2123,acquaintance
33,1590,acquaintance
1209,642,acquaintance
2680,129,friend
2972,1338,friend
2768,425,best friend
1360,2563,acquaintance
2668,741,friend
1970,1165,acquaintance
1027,2516,acquaintance
786,975,friend
33,2302,acquaintance
286,1390,friend
1357,1871,friend
604,2680,friend
60,19,acquaintance
941,1834,acquaintance
1333,1630,acquaintance
1970,1255,friend
535,1127,friend
2312,901,acquaintance
1470,2939,acquaintance
2377,33,acquaintance
1711,2818,friend
1394,2750,acquaintance
587,166,acquaintance
2617,221,acquaintance
1943,2219,acquaintance
2288,1568,acquaintance
949,248,friend
862,1834,acquaintance
1864,937,friend
1962,2950,acquaintance
884,1085,acquaintance
2852,603,acquaintance
340,1672,acquaintance
1913,1311,acquaintance
1850,2320,best friend
263,1050,friend
689,1756,acquaintance
384,2810,acquaintance
2618,1603,acquaintance
661,1335,friend
50,821,acquaintance
33,2,acquaintance
2533,1207,acquaintance
2300,2324,friend
1977,1505,friend
2379,492,friend
2614,1897,best friend
526,1713,acquaintance
760,1045,acquaintance
2538,445,acquaintance
1623,845,acquaintance
2690,1797,acquaintance
1766,275,friend
394,2846,acquaintance
839,1091,friend
2373,1548,acquaintance
1921,288,friend
758,321,acquaintance
623,1948,friend
2628,1098,acquaintance
1205,732,friend
415,2906,acquaintance
2997,785,acquaintance
1516,38,acquaintance
867,79,acquaintance
1884,1381,friend
873,122,friend
2015,2375,friend
2428,571,acquaintance
2934,2451,friend
1769,941,acquaintance
2296,1805,acquaintance
862,1796,acquaintance
2123,531,acquaintance
1481,2446,acquaintance
562,1908,best friend
2950,1301,friend
460,426,friend
756,587,acquaintance
2706,747,friend
433,822,acquaintance
898,1704,acquaintance
32,1397,acquaintance
2495,207,acquaintance
2415,1364,best friend
247,2306,friend
2159,2931,friend
298,86,best friend
2373,867,friend
956,1480,acquaintance
676,1490,acquaintance
639,1785,acquaintance
1493,1755,acquaintance
946,2203,acquaintance
156,534,friend
1297,291,acquaintance
7,1749,acquaintance
504,1632,acquaintance
2110,805,acquaintance
1465,2628,acquaintance
2031,336,acquaintance
2594,562,friend
2859,1209,friend
1082,981,friend
248,489,acquaintance
1727,1438,acquaintance
1979,1811,acquaintance
1109,41,acquaintance
2859,1065,friend
360,298,best friend
1297,785,acquaintance
1075,2680,friend
40,1381,acquaintance
1029,2551,acquaintance
19,1969,acquaintance
2486,2750,acquaintance
2620,1311,acquaintance
1069,1973,acquaintance
2334,390,friend
2095,513,acquaintance
686,2516,best friend
2320,2953,friend
1591,1881,acquaintance
260,2747,best friend
1973,1122,best friend
652,1697,friend
1938,479,acquaintance
853,1794,acquaintance
786,268,acquaintance
2545,755,acquaintance
1155,1755,acquaintance
699,1799,acquaintance
2486,1805,acquaintance
460,1769,acquaintance
2110,1817,acquaintance
1461,2694,friend
1860,2903,acquaintance
1915,2361,friend
889,1397,acquaintance
1950,2735,friend
1786,1591,acquaintance
132,1035,acquaintance
962,1861,acquaintance
2571,522,friend
858,933,friend
1563,983,acquaintance
1479,554,friend
491,1135,friend
2901,535,acquaintance
1538,1354,acquaintance
497,1297,friend
2727,543,acquaintance
497,166,friend
2237,901,acquaintance
1520,1658,acquaintance
1969,353,acquaintance
274,2786,friend
1482,1277,acquaintance
1653,2971,acquaintance
1236,1957,acquaintance
217,2540,friend
1994,2955,friend
995,2806,acquaintance
1667,1921,best friend
547,2120,acquaintance
807,693,acquaintance
1345,1050,acquaintance
1490,417,best friend
2732,2316,acquaintance
727,397,acquaintance
2735,2781,acquaintance
274,449,acquaintance
1307,889,acquaintance
2486,140,acquaintance
2806,1838,best friend
399,495,acquaintance
2275,1402,friend
1430,1205,acquaintance
1704,1649,friend
2754,1939,acquaintance
2703,2661,friend
2735,597,friend
1255,2325,friend
2617,2249,acquaintance
2390,248,friend
962,755,friend
1047,1029,acquaintance
1285,1775,acquaintance
1998,1269,best friend
1975,2530,friend
2006,921,acquaintance
1075,1805,acquaintance
564,510,acquaintance
887,510,acquaintance
2569,27,acquaintance
1207,2924,acquaintance
2311,2357,friend
693,26,friend
13,842,acquaintance
732,254,friend
2608,1755,friend
2624,694,acquaintance
415,2070,acquaintance
2083,1338,acquaintance
2571,1969,friend
1908,2818,friend
2257,233,acquaintance
2889,288,friend
2357,886,acquaintance
297,949,acquaintance
1858,653,acquaintance
401,2570,acquaintance
291,2655,acquaintance
740,2192,acquaintance
1155,956,acquaintance
1301,2192,acquaintance
2076,2047,acquaintance
2490,810,friend
1584,1291,friend
2268,562,acquaintance
2924,2596,acquaintance
2404,1091,acquaintance
899,2323,acquaintance
290,2334,friend
2518,1898,acquaintance
1645,1411,friend
2095,288,friend
519,1751,acquaintance
1608,2146,friend
1207,768,friend
1463,2307,acquaintance
603,362,acquaintance
173,2589,acquaintance
2241,981,best friend
401,1307,friend
2839,1608,friend
941,2110,friend
492,1957,acquaintance
2798,922,friend
1533,2817,friend
2602,585,acquaintance
633,2617,acquaintance
941,810,friend
248,2778,friend
1482,1120,acquaintance
1664,1075,friend
1082,740,acquaintance
1354,571,friend
768,1908,acquaintance
2924,297,acquaintance
1686,947,acquaintance
807,577,friend
7,1481,acquaintance
1394,741,acquaintance
353,663,acquaintance
2513,2165,acquaintance
2931,2316,friend
1236,585,acquaintance
1975,48,acquaintance
736,1808,acquaintance
1608,248,friend
2955,488,acquaintance
2214,2476,acquaintance
2847,2472,acquaintance
947,542,acquaintance
2331,251,acquaintance
1836,854,best friend
2621,1503,acquaintance
953,2140,acquaintance
397,2209,acquaintance
1755,1533,friend
2311,412,acquaintance
310,2892,friend
